Item Description,Model #,Qty,Department,Product Type,Subcategory,Category,Retail,Ext. Retail,Brand,Weight,Ext. Weight,UPC
"Discharge Hose 3 in. Dia x 105 ft. PVC Fabric Lay Flat Hose with Clamps Heavy-Duty Backwash Drain Hose Burst-Proof, Blue",YCFC3X100PVC284,1,Outdoors,Pool Supplies,Pool Cleaning Supplies,OUTDOOR SEASONAL,65.25,65.25,VEVOR,28.2,28.2,"840281501748,"
Carolina 24 in. x 24 in. x 6 in. Olefin 2-Piece Deep Seating Outdoor Lounge Chair Sofa Cushion in Gray,GM-ZBDJH006-3,1,Outdoors,Patio Furniture,Outdoor Cushions,OUTDOOR SEASONAL,64.99,64.99,Gymojoy,10,10,"753763950999,"
"13 Gal. Matte White Stainless Steel Kitchen Trashcan, Step-on, D Shape",QZ10064,1,Cleaning,Trash & Recycling,Trash Cans,OUTDOOR SEASONAL,64.97,64.97,Qualiazero,10,10,"810055170821,"
Floral 17.5 x 17 Outdoor Dining Chair Cushion in Blue/White (Set of 2),691435,1,Outdoors,Patio Furniture,Outdoor Cushions,OUTDOOR SEASONAL,63.04,63.04,Pillow Perfect,10,10,"751379691435,"
Franklin Pacific Blue 29 in. Poly HDPE Fade Resistant Outdoor Patio Saddle Seat Pub Height Bar Stool,OP7002-29-PB,1,Outdoors,Patio Furniture,Outdoor Bar Furniture,OUTDOOR SEASONAL,62.45,62.45,WESTIN OUTDOOR,15.6,15.6,"631851056559,"
Kids Wooden Play Tool Workbench Workshop Table Pretend Play with Tools Set,GYM12676,1,Sports & Outdoors,Kids Toys,,OUTDOOR SEASONAL,61.67,61.67,Gymax,12.5,12.5,"6554660689678,"
MHT FOLDING 150 LB HAND TRUCK,33884,1,,,,OUTDOOR SEASONAL,58.13,58.13,,10,10,
5.6 ft. Tall 4-Panel Folding Room Divider Privacy Screen in Nature Wood,830-814V00ND,1,Home Decor,Room Dividers,,OUTDOOR SEASONAL,56.98,56.98,HOMCOM,11.44,11.44,"673986264232,"
Barrel Gray Storage Resin Low Table Ottoman,ML-5004,1,Furniture,Living Room Furniture,Ottomans,OUTDOOR SEASONAL,56.83,56.83,HOUSEHOLD ESSENTIALS,6.5,6.5,"040071160197,"
Barrel Gray Storage Resin Low Table Ottoman,ML-5004,1,Furniture,Living Room Furniture,Ottomans,OUTDOOR SEASONAL,56.83,56.83,HOUSEHOLD ESSENTIALS,6.5,6.5,"040071160197,"
"""13 Gal. Stainless Steel Kitchen Trashcan, Step-on, Rectangle""",QZ10002,1,Cleaning,Trash & Recycling,Trash Cans,OUTDOOR SEASONAL,56,56,Qualiazero,10,10,"810055170012,"
10 ft. x 10 ft. Black Outdoor Party Tent with 4 Sidewalls,6.37756E+11,1,Storage & Organization,Outdoor Storage,Shade Structures,OUTDOOR SEASONAL,55.52,55.52,Karl home,18.74,18.74,"637756220927,"
Portable 2 Pack Mint Green Steel Folding Adjustable Headrest Beach Chair,9.29728E+11,1,Outdoors,Patio Furniture,Patio Chairs,OUTDOOR SEASONAL,55,55,Winado,17.64,17.64,"929727832100,"
Portable 2 Pack Mint Green Steel Folding Adjustable Headrest Beach Chair,9.29728E+11,1,Outdoors,Patio Furniture,Patio Chairs,OUTDOOR SEASONAL,55,55,Winado,17.64,17.64,"929727832100,"
22 in. x 24 in. 2-Piece Deep Seating Outdoor Lounge Chair Cushion in Sapphire Blue Leala,TG0D824B-D9Z1,1,Outdoors,Patio Furniture,Outdoor Cushions,OUTDOOR SEASONAL,54.99,54.99,ARDEN,10,10,"070145083039,"
Deluxe 15.5 in. L x 36 in. W x 34 in. H Resin White Garden Planter with Shelf,258478,1,Outdoors,Garden Center,Raised Garden Beds,OUTDOOR SEASONAL,54.97,54.97,Adams,13.57,13.57,"037063600526,"
74 in. L x 22 in. W x 5 in. T Outdoor Chaise Lounge Cushion in Posh Saucy,856PK1-5547A,1,Outdoors,Patio Furniture,Outdoor Cushions,OUTDOOR SEASONAL,54.87,54.87,Jordan Manufacturing,10,10,"192658401916,"
74 in. L x 22 in. W x 5 in. T Outdoor Chaise Lounge Cushion in Posh Saucy,856PK1-5547A,1,Outdoors,Patio Furniture,Outdoor Cushions,OUTDOOR SEASONAL,54.87,54.87,Jordan Manufacturing,10,10,"192658401916,"
22 in. x 24 in. 2-Piece Deep Seating Outdoor Lounge Chair Cushion in Tan Leala,TH1A824B-D9Z1,1,Outdoors,Patio Furniture,Outdoor Cushions,OUTDOOR SEASONAL,54.73,54.73,ARDEN,10,10,"070145083053,"
74 in. x 22 in. Alberta Salsa Red Floral Rectangular Knife Edge Outdoor Chaise Lounge Cushion with Ties and Hanger Loop,856PK1-1673D,1,Outdoors,Patio Furniture,Outdoor Cushions,OUTDOOR SEASONAL,54.24,54.24,Jordan Manufacturing,10,10,"018232617736,"
"Basketball Ball Rolling Storage Cart Rack, Holds 12 Standard Size Balls",THD-AH-FP-72F,1,Sports & Outdoors,Outdoor Sports,Basketball Equipment,OUTDOOR SEASONAL,52.47,52.47,Trademark Innovations,9,9,"811180033197,"
"Basketball Ball Rolling Storage Cart Rack, Holds 12 Standard Size Balls",THD-AH-FP-72F,1,Sports & Outdoors,Outdoor Sports,Basketball Equipment,OUTDOOR SEASONAL,52.47,52.47,Trademark Innovations,9,9,"811180033197,"
Paisley 19 in. x 19 in. 2-Piece Outdoor Dining Chair Cushion Blue/Yellow Gilford,611792,1,Outdoors,Patio Furniture,Outdoor Cushions,OUTDOOR SEASONAL,52.43,52.43,Pillow Perfect,10,10,"751379611792,"
Montlake FadeSafe Heather Indigo 48 in. x 18 in. Outdoor Bench Cushion,62-015-INDIGO-E,1,Outdoors,Patio Furniture,Outdoor Cushions,OUTDOOR SEASONAL,51.38,51.38,Classic Accessories,10,10,"052963035520,"
Palm Leaves White Square Tufted Outdoor Seat Cushion,OC4800-PALM-WHI,1,Outdoors,Patio Furniture,Outdoor Cushions,OUTDOOR SEASONAL,49.22,49.22,Greendale Home Fashions,10,10,"098198750548,"
Palm Leaves White Square Tufted Outdoor Seat Cushion,OC4800-PALM-WHI,1,Outdoors,Patio Furniture,Outdoor Cushions,OUTDOOR SEASONAL,49.22,49.22,Greendale Home Fashions,10,10,"098198750548,"
Patio Black Wood Outdoor Rocking Chair,ROCKER-02,1,Outdoors,Patio Furniture,Patio Chairs,OUTDOOR SEASONAL,49,49,Hampton Bay,26.46,26.46,"8938537969106,"
"3-Position Metal Adjustable Backrest Outdoor Chaise Chair Lounger, Beige with Light Frame Great for Pool or Sun Bathing",84B-442CW,1,Outdoors,Patio Furniture,Patio Chairs,OUTDOOR SEASONAL,48.78,48.78,Outsunny,10.13,10.13,"842525146401,"
"3-Position Metal Adjustable Backrest Outdoor Chaise Chair Lounger, Beige with Light Frame Great for Pool or Sun Bathing",84B-442CW,1,Outdoors,Patio Furniture,Patio Chairs,OUTDOOR SEASONAL,48.78,48.78,Outsunny,10.13,10.13,"842525146401,"
WEBER LARGE SS FISH BASKET,6471,1,,,,OUTDOOR SEASONAL,44.94,44.94,,10,10,
White and Green Stripe Aluminum Folding Backpack Beach Chair,K1G58000552,1,Outdoors,Patio Furniture,Patio Chairs,OUTDOOR SEASONAL,44.93,44.93,Karl home,7.49,7.49,"301531012082,"
3.5 ft. Canvas A-Frame Teepee Playset Playhouse With Carry Case,TEEPEE-AFRAME,1,Playground Sets,Freestanding Play,,OUTDOOR SEASONAL,44.58,44.58,Trademark Innovations,10,10,"638888639069,"
Top-Notch Tension Ratchet Winch Triangle Sun Shade Sail Canopy Cable Wire Installation Kit,TAWAL-T,1,Storage & Organization,Outdoor Storage,Shade Structures,OUTDOOR SEASONAL,42.61,42.61,COLOURTREE,1.6,1.6,"810049194789,"
Shoreside White Square HDPE Plastic 18 in. Modern Outdoor Side Table,OP8001-WH,1,Outdoors,Patio Furniture,Patio Tables,OUTDOOR SEASONAL,41,41,WESTIN OUTDOOR,15.8,15.8,"631851060419,"
21 in. x 21 in. Lake Blue Leala Outdoor Dining Chair Cushion,ZM0E825B-D9Z1,1,Outdoors,Patio Furniture,Outdoor Cushions,OUTDOOR SEASONAL,40.49,40.49,ARDEN,10,10,"070145084746,"
21 in. x 22 in. Deep Seating Outdoor Lounge Chair Cushion in Beige,PB-CU009BEI-1BC,1,Outdoors,Patio Furniture,Outdoor Cushions,OUTDOOR SEASONAL,40.47,40.47,Pellebant,10,10,"658156154728,"
21 in. x 22 in. Deep Seating Outdoor Lounge Chair Cushion in Beige,PB-CU009BEI-1BC,1,Outdoors,Patio Furniture,Outdoor Cushions,OUTDOOR SEASONAL,40.47,40.47,Pellebant,10,10,"658156154728,"
21 in. x 22 in. Deep Seating Outdoor Lounge Chair Cushion in Beige,PB-CU009BEI-1BC,1,Outdoors,Patio Furniture,Outdoor Cushions,OUTDOOR SEASONAL,40.47,40.47,Pellebant,10,10,"658156154728,"
21 in. x 22 in. Deep Seating Outdoor Lounge Chair Cushion in Beige,PB-CU009BEI-1BC,1,Outdoors,Patio Furniture,Outdoor Cushions,OUTDOOR SEASONAL,40.47,40.47,Pellebant,10,10,"658156154728,"
21 in. x 22 in. Deep Seating Outdoor Lounge Chair Cushion in Beige,PB-CU009BEI-1BC,1,Outdoors,Patio Furniture,Outdoor Cushions,OUTDOOR SEASONAL,40.47,40.47,Pellebant,10,10,"658156154728,"
Garden Hose Stand Steel Hose Storage Freestanding Garden Hose Holder with Layer of Storage,GHC-001,1,Outdoors,Garden Center,Watering & Irrigation,OUTDOOR SEASONAL,39.99,39.99,WaLensee,10,10,"739608567508,"
Garden Hose Stand Steel Hose Storage Freestanding Garden Hose Holder with Layer of Storage,GHC-001,1,Outdoors,Garden Center,Watering & Irrigation,OUTDOOR SEASONAL,39.99,39.99,WaLensee,10,10,"739608567508,"
4 ft. x 2 ft. x 1 ft. Green Steel Raised Garden Bed Box,845-039V01GN,1,Outdoors,Garden Center,Raised Garden Beds,OUTDOOR SEASONAL,38.21,38.21,Outsunny,8.8,8.8,"196393069684,"
4 ft. x 2 ft. x 1 ft. Green Steel Raised Garden Bed Box,845-039V01GN,1,Outdoors,Garden Center,Raised Garden Beds,OUTDOOR SEASONAL,38.21,38.21,Outsunny,8.8,8.8,"196393069684,"
22 in. L x 45 in. W x 5 in. T Outdoor Chair Cushion in Celosia Ice,851PK1-6843A,1,Outdoors,Patio Furniture,Outdoor Cushions,OUTDOOR SEASONAL,36.99,36.99,Jordan Manufacturing,10,10,"192658401886,"
22 in. L x 45 in. W x 5 in. T Outdoor Chair Cushion in Celosia Ice,851PK1-6843A,1,Outdoors,Patio Furniture,Outdoor Cushions,OUTDOOR SEASONAL,36.99,36.99,Jordan Manufacturing,10,10,"192658401886,"
22 in. L x 45 in. W x 5 in. T Outdoor Chair Cushion in Celosia Ice,851PK1-6843A,1,Outdoors,Patio Furniture,Outdoor Cushions,OUTDOOR SEASONAL,36.99,36.99,Jordan Manufacturing,10,10,"192658401886,"
22 in. L x 45 in. W x 5 in. T Outdoor Chair Cushion in Celosia Ice,851PK1-6843A,1,Outdoors,Patio Furniture,Outdoor Cushions,OUTDOOR SEASONAL,36.99,36.99,Jordan Manufacturing,10,10,"192658401886,"
Terrazzo Large Patio Chaise Cover - All-Weather Protection Outdoor Furniture Cover,55-990-042001-E,1,Outdoors,Patio Furniture,Patio Furniture Covers,OUTDOOR SEASONAL,35.42,35.42,Classic Accessories,4,4,"052963041682,"
Terrazzo Large Patio Chaise Cover - All-Weather Protection Outdoor Furniture Cover,55-990-042001-E,1,Outdoors,Patio Furniture,Patio Furniture Covers,OUTDOOR SEASONAL,35.42,35.42,Classic Accessories,4,4,"052963041682,"
Trash Can Dolly with Wheels,999-2600,1,Cleaning,Trash & Recycling,Trash Can Accessories,OUTDOOR SEASONAL,34.97,34.97,Unbranded,10,10,"840254200715,"
20 in. x 20 in. Outdoor High Back Dining Chair Cushion in Black Global Stripe,ZN04173B-D9Z1,1,Outdoors,Patio Furniture,Outdoor Cushions,OUTDOOR SEASONAL,32.29,32.29,ARDEN,10,10,"070145096800,"
20 in. x 20 in. Outdoor High Back Dining Chair Cushion in Black Global Stripe,ZN04173B-D9Z1,1,Outdoors,Patio Furniture,Outdoor Cushions,OUTDOOR SEASONAL,32.29,32.29,ARDEN,10,10,"070145096800,"
20 in. x 20 in. Outdoor High Back Dining Chair Cushion in Black Global Stripe,ZN04173B-D9Z1,1,Outdoors,Patio Furniture,Outdoor Cushions,OUTDOOR SEASONAL,32.29,32.29,ARDEN,10,10,"070145096800,"
20 in. x 20 in. Outdoor High Back Dining Chair Cushion in Black Global Stripe,ZN04173B-D9Z1,1,Outdoors,Patio Furniture,Outdoor Cushions,OUTDOOR SEASONAL,32.29,32.29,ARDEN,10,10,"070145096800,"
Ferndale 15.55 in. W x 20.55 in. H Rust Indoor/Outdoor Garden Resin Planter,US573116,1,Outdoors,Garden Center,Planters,OUTDOOR SEASONAL,29.99,29.99,Vigoro,2.54,2.54,"014306919218,"
"1.3 Gal. Stainless Steel Trash Can, Step-on, Slim Shape 2PCS Set",AMZ10046,1,Cleaning,Trash & Recycling,Trash Cans,OUTDOOR SEASONAL,29.95,29.95,QUALIAZERO,1,1,"810055171675,"
WOOD OUTDOOR SIDE TABLE,7.1832E+11,1,Outdoors,Patio Furniture,Patio Tables,OUTDOOR SEASONAL,28.7,28.7,Karl home,8.46,8.46,"718319687583,"
"Outdoor Plush Modern Tufted Square Seat Cushion, Sapphire Blue Leala",ZQ06E05B-D9Z1,1,Outdoors,Patio Furniture,Outdoor Cushions,OUTDOOR SEASONAL,25.91,25.91,ARDEN,1,1,"070145127870,"
"Outdoor Plush Modern Tufted Square Seat Cushion, Sapphire Blue Leala",ZQ06E05B-D9Z1,1,Outdoors,Patio Furniture,Outdoor Cushions,OUTDOOR SEASONAL,25.91,25.91,ARDEN,1,1,"070145127870,"
41.5 in. Tall Black Powder Coat Iron Deck Rail Shepherd's Pole With Adjustable Height,TSW-02,1,Outdoors,Garden Center,Outdoor Decor,OUTDOOR SEASONAL,25.47,25.47,ACHLA DESIGNS,1,1,"719908300296,"
MAX 38 in. SodPLUGGER with Carbon Steel Handle,LG13725,1,Outdoors,Garden Center,Garden Tools,OUTDOOR SEASONAL,24.98,24.98,Corona,1.59,1.59,"038313137250,"
MAX 38 in. SodPLUGGER with Carbon Steel Handle,LG13725,1,Outdoors,Garden Center,Garden Tools,OUTDOOR SEASONAL,24.98,24.98,Corona,1.59,1.59,"038313137250,"
19 in. L x 37 in. W x 3.5 in. T Outdoor Chair Cushion in Rose Garden,5669PK1-5836A,1,Outdoors,Patio Furniture,Outdoor Cushions,OUTDOOR SEASONAL,24.35,24.35,Jordan Manufacturing,1,1,"192658404887,"
19 in. L x 37 in. W x 3.5 in. T Outdoor Chair Cushion in Rose Garden,5669PK1-5836A,1,Outdoors,Patio Furniture,Outdoor Cushions,OUTDOOR SEASONAL,24.35,24.35,Jordan Manufacturing,1,1,"192658404887,"
19 in. L x 37 in. W x 3.5 in. T Outdoor Chair Cushion in Rose Garden,5669PK1-5836A,1,Outdoors,Patio Furniture,Outdoor Cushions,OUTDOOR SEASONAL,24.35,24.35,Jordan Manufacturing,1,1,"192658404887,"
19 in. L x 37 in. W x 3.5 in. T Outdoor Chair Cushion in Rose Garden,5669PK1-5836A,1,Outdoors,Patio Furniture,Outdoor Cushions,OUTDOOR SEASONAL,24.35,24.35,Jordan Manufacturing,1,1,"192658404887,"
19 in. L x 37 in. W x 3.5 in. T Outdoor Chair Cushion in Rose Garden,5669PK1-5836A,1,Outdoors,Patio Furniture,Outdoor Cushions,OUTDOOR SEASONAL,24.35,24.35,Jordan Manufacturing,1,1,"192658404887,"
36 IN COCO LINER,586700,2,,,,OUTDOOR SEASONAL,11.23,22.46,,1,2,
"Dog Waste Bags USDA Certified 38% Plant Based & 62% PE,  1080 Leak-Proof, Extra Thick Large Dog Poop bag Rolls - Black",BPETNPET1000,1,Outdoors,Pet Supplies & Wildlife,Pet Cleaning Supplies,OUTDOOR SEASONAL,21.99,21.99,Pet N Pet,4.3,4.3,"602815634793,"
51 IN. GRILL COVER,700-0888,1,Outdoors,Outdoor Cooking,Grill Accessories,OUTDOOR SEASONAL,21.65,21.65,Nexgrill,1,1,"044376284824,"
51 IN. GRILL COVER,700-0888,1,Outdoors,Outdoor Cooking,Grill Accessories,OUTDOOR SEASONAL,21.65,21.65,Nexgrill,1,1,"044376284824,"
51 IN. GRILL COVER,700-0888,1,Outdoors,Outdoor Cooking,Grill Accessories,OUTDOOR SEASONAL,21.65,21.65,Nexgrill,1,1,"044376284824,"
"24 in. Whistle Free Flex Hose for Gas Fire Pits, 3/8 in. with 1/2 in. NPT Adapters",WFH-24,1,Outdoors,Outdoor Heating,Accessories,OUTDOOR SEASONAL,20,20,Celestial Fire Glass,1,1,"811654031216,"
45 in. L Heavy-Duty Oxford BBQ Grill Cover,CR4014,1,Outdoors,Outdoor Cooking,Grill Accessories,OUTDOOR SEASONAL,19.99,19.99,Royal Gourmet,1,1,"810001890209,"
3 Buckle Lawn Aerator Shoes with Adjustable Straps,AERATOR-SHOES,1,Outdoors,Garden Center,Garden Tools,OUTDOOR SEASONAL,19.11,19.11,Trademark Innovations,2.4,2.4,"810089097750,"
125 ft. Gray Stainless Steel Simple Hose Hanger Garden Hose Reel,681,1,Outdoors,Garden Center,Watering & Irrigation,OUTDOOR SEASONAL,18.44,18.44,LIBERTY GARDEN,1,1,"764736681000,"
NEXGRILL 64 IN PREMIUM GRIDDLE COVER,700-0786,1,Outdoors,Outdoor Cooking,Grill Accessories,OUTDOOR SEASONAL,17.02,17.02,Nexgrill,1,1,"044376291471,"
17.17 in. x 11.18 in. Cast Iron Cooking Grid with Hole,1021074901AE,1,Outdoors,Outdoor Cooking,Grill Replacement Parts,OUTDOOR SEASONAL,15.23,15.23,Nexgrill,1,1,"044376287184,"
PowerCorner Outdoor Extra Large Angle Broom,168246,1,Cleaning,Cleaning Tools,Brooms,OUTDOOR SEASONAL,13.99,13.99,O-Cedar,1.39,1.39,"810020411782,"
Giant 22 in. Microfiber Wet-Dry Flip Mop with 20% more Microfiber,7014XL,1,Cleaning,Cleaning Tools,Mops,OUTDOOR SEASONAL,12.97,12.97,HDX,0.8,0.8,"082269570142,"
44 IN. L X 21 IN. W X 3.5 IN. T OUTD,9701PK1-2428D,1,,,,OUTDOOR SEASONAL,12.74,12.74,,1,1,
44 IN. L X 21 IN. W X 3.5 IN. T OUTD,9701PK1-2428D,1,,,,OUTDOOR SEASONAL,12.74,12.74,,1,1,
40 mm One Star Table Tennis Balls (24-Count),70-1020,1,Sports & Outdoors,Games,Game Room,OUTDOOR SEASONAL,12.58,12.58,Viper,1.5,1.5,"719265511588,"
4 Gal. Clear Trash Bags (Pack of 100 Bags),W4HDCJR,1,Cleaning,Trash & Recycling,Trash Bags,OUTDOOR SEASONAL,11.59,11.59,Plasticplace,1,1,"818331020013,"
36 IN COCO LINER,586700,1,,,,OUTDOOR SEASONAL,11.23,11.23,,1,1,
Indoor Garden 40 oz. Watering Can,1070668,1,Outdoors,Garden Center,Watering & Irrigation,OUTDOOR SEASONAL,9.09,9.09,Fiskars,1,1,"046561810603,"
